Name_ga,Year,Manufacture,Age,Player
5,2023,Choo Choo Games,9+,5-10
7,2022,Crowd Games,8+,4-9
A,2021,Fantasy Flight Games,7+,4-8
B,2020,GaGa Games,6+,4-7
C,2019,Hasbro,5+,4-16
D,2018,Hobby World,4+,4-12
E,2017,Lavka Games,18+,4-10
F,2016,Magellan,16+,4
L,2015,Piatnik,15+,3-9
N,2014,Ravensburger,14+,3-8
P,2013,Tactic,13+,3-7
R,2012,Zvezda,12+,3-6
S,2011,Геменот,11+,3-5
U,2010,ИнтерХит,10+,3-4
Ё,2009,Нескучные Игры,,3-17
А,2008,Правильные Игры,,3-13
Б,,Стиль Жизни,,3-12
В,,Фабрика игр,,2-9
Г,,Эврикус,,2-8
Д,,Экивоки,,2-7
Е,,Экономикус,,2-6
Ж,,,,2-5
З,,,,2-4
И,,,,2-3
К,,,,2-16
Л,,,,2-12
М,,,,2-10
Н,,,,2+
О,,,,2
П,,,,1-8
Р,,,,1-75
С,,,,1-7
Т,,,,1-6
У,,,,1-5
Ф,,,,1-4
Х,,,,1-3
Ц,,,,1-2
Ч,,,,1-100
Ш,,,,1+
Э,,,,
Я,,,,
