Name_HG,Image_HG,Slogan,Tags,Price,Player,Time,Age,Year,Manufacture,Equipment,Url_game_hg,Transliterated_name
Gloomhaven. Мрачная гавань: Челюсти льва,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Gloomhaven_Jaws_of_the_Lion/HG/Jaws_of_the_lion_00-1000x416-wm.JPG,Лучшие наёмники города,"Gloomhaven,Кооперативные игры,Приключенческие игры,Стратегические игры,Хардкорные игры",5 990 ,1-4,30-120,13+,2021,Hobby World,"Поле кампании,8 фигурок персонажей,4 планшета персонажей,12 коробочек персонажей,4 блокнота персонажей,4 счётчика здоровья/опыта,Планшет заряда стихий,565 карт,97 фишек монстров,223 жетона,Лист с наклейками,24 пластиковые подставки,4 конверта характеристик монстров,Правила игры,2 книги сценариев,Справочник ,Размер коробки: 292x229x120 мм,Размер малых карт: 44x67 мм (рекомендуются протекторы из данного раздела,375 шт.),Размер средних карт: 63x89 мм (рекомендуются протекторы из данного раздела,174 шт.),Размер больших карт: 101x101 мм (16 шт.),Вес: 2.93 кг",https://hobbygames.ru/gloomhaven-mrachnaja-gavan-cheljusti-lva,Gloomhaven. Mrachnaja gavan': Cheljusti l'va
Эпичные схватки боевых магов: Крутагидон,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Shvatki_Magov/Krutagidon/ESW_Deckbuilding_box_3d-roznica-1000x416-wm.jpg,Мордобой всех мордобоев,"Вечериночные игры,Выбор настольщика 2022,Игры для взрослых,Игры для компании,Карточные игры,Эпичные схватки боевых магов",1 790 ,2-5,45-60,18+,2020,Hobby World,"230 карт,5 черепушек для отсчёта жизней,8 жетонов колдунских свойств,8 планшетов колдунов,20 жетонов дохлых колдунов,Р’льех,Главный приз Крутагидона,Правила игры ,Размер коробки 277x194x67 мм,Размер карт 63х89 мм (рекомендуются протекторы из данного раздела,230 шт.),Вес: 0.85 кг",https://hobbygames.ru/jepichnie-shvatki-boevih-magov-krutagidon,Epichnye shvatki boevyh magov: Krutagidon
Roll Player Adventures: Приключения в Улосе,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Roll_Player_Adventures/HG/RPA_00-1000x416-wm.JPG,Героические похождения,"Кооперативные игры,Приключенческие игры,Стратегические игры",11 990 ,1-4,90-150,13+,2023,Hobby World,"12 книг приключений,Книга встреч,Книга навыков,6 двухсторонних полей приключений,4 планшета персонажей,25 бланков персонажей,10 бланков отряда,Мешочек для кубиков,36 кубиков характеристик,15 кубиков фамильяров,Фигурка отряда,40 фишек опыта,3 фишки благосклонности,3 фишки раунда,30 золотых,95 фишек стойкости,14 жетонов стойкости,Фишка отдыха,10 жетонов встреч,8 бонусных фишек,6 жетонов событий,Жетон стража,103 карты открытий,107 карт титулов,38 карт модификаторов,61 карта врагов,60 карт редкостей,36 карт классов,15 карт фамильяров,53 карты портретов,129 карт рынка,4 карты-памятки ,Размер коробки: 392x300x145 мм,Размер карт: 120х79 мм (рекомендуются протекторы из данного раздела,65 шт.),Размер карт: 63х89 мм (рекомендуются протекторы из данного раздела,470 шт.),Размер карт: 44x67 мм (рекомендуются протекторы из данного раздела,38 шт.),Размер карт: 41x63 мм (рекомендуются протекторы из данного раздела,36 шт.),Вес: 6.52 кг",https://hobbygames.ru/roll-player-adventures-prikljuchenija-v-ulose,Roll Player Adventures: Prikljuchenija v Ulose
Штиль,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Shtil/Photos/Shtil_00-1000x416-wm.jpg,Ветер молчит!,"Игры для компании,Кооперативные игры,Семейные игры",990 ,1-5,20+,8+,2021,Hobby World,"80 карт островов,5 карт старта,5 карт финиша,25 карт границ,18 карт бурных морей,2 карты памяток,Правила игры ,Размер коробки: 235x157x47 мм,Размер карт: 69х69 мм (рекомендуются протекторы из данного раздела,135 шт.),Вес: 0.315 кг",https://hobbygames.ru/shtil,Shtil'
Взрывные котята 18+,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Explosive_Kitten/18/Kotyata18_00-1000x416-wm.jpg,Горячая версия!,"Вечериночные игры,Взрывные котята,Выбор настольщика 2022,Игры для взрослых,Игры для компании,Карточные игры",990 ,2-5,15+,18+,2020,Hobby World,"56 карт,Правила игры ,Размер коробки: 165x114x41 мм,Размер карт: 63x88 мм (рекомендуются протекторы из данного раздела,56 шт.),Вес: 0.25 кг",https://hobbygames.ru/vzrivnie-kotjata-18,Vzryvnye kotjata 18+
Гача,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Gasha/HG/Gasha_00-1000x416-wm.JPG,Что вам достанется?,"Игры для компании,Карточные игры",790 ,2-6,20,7+,2023,Magellan,"75 гача-карт,35 карт наград,16 жетонов бонусов,Правила игры ,Размер коробки: 105x197x40 мм,Размер карт: 56x87 мм (рекомендуются протекторы из данного раздела,110 шт.),Вес: 0.25 кг",https://hobbygames.ru/gacha,Gacha
Агрикола,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Agricola/agrikola_3D_roznica-1000x416-wm.jpg,Настало время стать земледельцем!,"Агрикола,Семейные игры,Стратегические игры,Хардкорные игры,Экономические игры",5 490 ,1-4,90+,12+,2016,Hobby World,"Составной игровой планшет,2 расширения,4 планшета ферм,Планшет для улучшений,39 жетонов полей и комнат,2 альтернативных жетона,Жетон ""Подработка"",44 жетона еды,3 маркера подсказок,10 маркеров товаров,120 карт (действия,улучшения и профессии),Блокнот,Лист наклеек,Приложение,Деревянные компоненты: ,18 овец,15 свиней,13 коров,30 древесины,24 глины,14 тростника,16 камня,24 зерна,16 овощей,Фишка первого игрока,60 изгородей,16 хлевов,20 родичей,Правила игры ,Размер коробки: 316х226х72 мм,Размер карт: 59х91 мм (рекомендуются протекторы из данного раздела,120 шт.),Рекомендуемые органайзеры для хранения компонентов: ,UTS Token ONE (4 шт.),UCF Standart 20 мм (2 шт.),UTS Euro Token (2 шт.),Вес: 1.815 кг",https://hobbygames.ru/agrikola-novoe-izdanie,Agrikola
Русский манчкин,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Russian/Photos/Munchkin_Russian00-1000x416-wm.jpg,Сварим кашу из топора?,"Выбор настольщика 2022,Игры в дорогу,Манчкин,Игры для компании,Карточные игры",990 ,3-6,30+,12+,2020,Hobby World,"168 карт,Кубик,Правила игры ,Размер коробки: 235x157x47 мм,Размер карт: 56x87 мм (рекомендуются протекторы из данного раздела,168 шт.),Вес: 0.35 кг",https://hobbygames.ru/russkij-manchkin,Russkij manchkin
Ужас Аркхэма. Карточная игра,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Ujas_Arkhema/UA_cardgame/JKI_UjasArkhama-1000x416-wm.jpg,Столкнитесь с потаёнными страхами!,"Живые карточные игры (LCG),Ужас Аркхэма. Карточная игра,Детективные игры,Вселенная Лавкрафта,Выбор настольщика 2022,Ужас Аркхэма (Arkham Horror Files),Хардкорные игры",2 490 ,1-2,60-120,14+,2018,Hobby World,"Справочник,Книга сценариев,5 карт сыщиков,5 мини-карт сыщиков,110 карт сценариев,119 карт игроков,30 жетонов ресурсов,44 жетона хаоса,18 жетонов ужаса,27 жетонов ран,30 жетонов улик/безысходности,Правила игры ,Размер коробки: 255х255х62 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,234 шт.),Размер карт: 41х63 мм (рекомендуются протекторы из данного раздела,5 шт.),Вес: 0.915 кг",https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra,Uzhas Arkhema. Kartochnaja igra
Culinario Mortale: Смертельный рецепт,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Culinario_Mortale/Recipe_for_Death/hg/Smertelniy_Recept-1000x416-wm.jpg,Приятного аппетита!,"Новинки 2022 года,Детективные игры,Игры для взрослых,Игры для компании,Кооперативные игры",990 ,5-7,120-180,18+,2022,Magellan,"Буклет с сюжетом,7 буклетов персонажей,7 табличек персонажей,Лист с кодом,Правила игры ,Размер коробки: 115x225x20 мм,Вес: 0.26 кг",https://hobbygames.ru/culinario-mortale-smertelnij-recept,Culinario Mortale: Smertel'nyj retsept
