Name_ga,Url_game_hg,Url_game_lavka,Image_HG,Slogan,Tags,Price,Player,Time,Age,Year,Manufacture,Equipment,Description,Language,Image_lavka,Rating_bgg,Rating_tesera,Image_gaga,Plus,Feature,Minus,Resume,Rules,Url_game_gaga
51 Штат,https://hobbygames.ru/51-shtat,https://www.lavkaigr.ru/shop/strategicheskie/51st-state/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/51_state/51_Shtat-1000x416-wm.jpg,"Мир, который вы знали, разрушен...","Карточные игры,Стратегические игры,Экономические игры",2 990 ,1-4,60-90,12+,2020,GaGa Games,"Планшет подсчёта победных очков,4 маркера победных очков,Жетон первого игрока,4 планшета фракций,88 базовых карт,12 карт транспорта,50 карт дополнения ""Новая эра"",50 карт дополнения ""Зима"",Комплект игровых жетонов,Правила игры ,Размер коробки: 300x300x70 мм,Размер карт: 63,5x88 мм (рекомендуются протекторы из данного раздела,200 шт.),Вес: 1.242 кг","    Мир, который вы знаете, больше не существует. Нет правительства. Нет армии. Никакой цивилизации. Соединенные Штаты рухнули, и вот спустя тридцать лет после начала войны новые державы наконец пытаются взять под контроль разрушенную страну, пытаются установить новый порядок, пытаются контролировать других и создавать новую страну, новое государство: 51-й Штат.   51-й Штат - карточная игра, в которой игроки контролируют одну из четырех держав, пытающихся построить новую страну. Игроки вводят в игру новые локации, нанимают лидеров и отправляют людей работать в зданиях, чтобы получить ресурсы и новые навыки. Для этого каждую карту в 51-м штате можно использовать тремя разными способами:     разрушить локацию, чтобы получить много ресурсов один раз.     Работайте с этой локацией, чтобы получать по одному ресурсу каждый ход.     Постройте локацию, чтобы вы могли использовать ее умение каждый ход.     51-й Штат: полный набор знаменует собой возрождение 51-й линии штата. Этот набор содержит 88 карт из исходной базовой игры и по 50 карт из расширений New Era и Winter; одно из этих расширений может быть смешано с картами базовой игры, но не обоими одновременно. Весь набор был перебалансирован, чтобы обеспечить целостность игры независимо от того, какое расширение вы выберете.  ",Русский,https://media.lavkaigr.ru/cache/4b/d4/4bd4f527861afd449a62e0d1fa81ebd6.png,6.81,7.23,https://gaga.ru/gaga/files/images/fullsize/5288/14.jpg,настоящий постапокалипсис^сразу два дополнения в одной коробке^,можно играть одному^,терять все свои ништяки – это крайне неприятно^,"51 Штат определенно понравится любителям глубоких стратегий, необычных карточных движков и атмосферы постапокалипсиса. Придумайте собственную стратегию и приведите свой штат к процветанию!",https://gaga.ru//gaga/files/pdf/rules/ru/5288.pdf,https://gaga.ru/game/51-shtat/
7 Чудес. Новый дизайн,https://hobbygames.ru/7-chudes,https://www.lavkaigr.ru/shop/ekonomicheskie/7-chudes/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Style_Jizny/7_wonders/2020/7_Chudes-1000x416-wm.jpg,Дневные и ночные стороны,"7 Чудес,Игры для компании,Карточные игры,Семейные игры,Стратегические игры,Экономические игры",3 490 ,3-7,30+,10+,2020,Стиль Жизни,"7 полей Чудес Света,49 карт Эпохи I,49 карт Эпохи II,50 карт Эпохи III,24 жетона Поражения,24 жетона Победы,54 монеты достоинством ""1"",24 монеты достоинством ""3"",Блокнот для подсчёта очков,3 памятки с описанием эффектов,Список карт и цепочек карт,Правила игры ,Размер коробки: 297x297x71 мм,Размер карт: 65x100 мм (рекомендуются протекторы из данного раздела,148 шт.),Вес: 1.328 кг","  7 Wonders — карточная «цивилизация» Антуана Баузы, создателя удачной кооперативной игры Ghost Stories.   Партия в 7 Wonders длится три эпохи, в начале каждой из которых игроки получают по семь карт с общей соответствующей эпохе колоды.   Ход игры напоминает «драфт», как в Fairy Tale или Magic the Gathering: получил карты, выбрал одну, оставшиеся передал соседу, разыграл выбранную карту, и по новой... Карты позволяют получать и тратить ресурсы (строя здания и чудеса света), а также воздействовать на цивилизации соперников.   Для организации карт служат персональные игровые поля цивилизаций с их особыми свойствами. Каждое поле двустороннее, и это увеличивает число уникальных цивилизаций.   Игра завершается вместе с третьей эпохой, и самая могущественная «цивилизация» объявляется победителем. Финальное могущество нации складывается из победных очков за армию, народ, науку, чудеса света, казну и многое другое, что обеспечивает множество различных путей к победе.   Правила 7 Wonders также включают вариант игры для двух игроков.   Описание игры любезно предоставлено ресурсом tesera.ru  ",Русский,https://media.lavkaigr.ru/cache/2b/06/2b06f295f5843bd7df1fd72d38b8c309.png,7.7,,https://gaga.ru/gaga/files/images/fullsize/5436/6.jpg,,,,Настольная игра 7 Чудес — очередная веха в эволюции настольных игр. Эдакая изящная Цивилизация лайт в хорошем смысле слова. Будьте осторожны! Вызывает зависимость :),https://gaga.ru//gaga/files/pdf/rules/ru/5436.pdf,https://gaga.ru/game/7-chudes/
Adventure Games. Гранд-отель Абаддон,https://hobbygames.ru/adventure-games-grand-otel-abaddon,https://www.lavkaigr.ru/shop/golovolomki/adventure-games-abaddon-hotel/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/Adventure_games/Grand-hotel_Abaddon/HG/Grand-Hotel_Abaddon-1000x416-wm.jpg,Призраки прошлого,"Adventure Games,Игры для компании,Кооперативные игры,Логические игры,Приключенческие игры",1 750 ,1-4,270+,16+,2022,Zvezda,"110 карточек приключения,18 карточек локаций,4 фишки персонажей,43 жетона,Книга приключения,Правила игры ,Размер коробки: 180x130x40 мм,Вес: 0.45 кг","  Исследуйте места, комбинируйте предметы и переживайте истории в Adventure Games. В каждой из этих игр игрокам представлена загадочная история, которую предстоит разгадать в ходе игры. Работая вместе, игроки исследуют общие зоны, разговаривают с людьми, ищут подсказки и объединяют различные предметы, чтобы раскрыть секрет истории. В зависимости от того, какие решения принимают игроки, ход истории меняется и пути назад нет!   В отличие от совместной серии EXIT: The Game, названия в этой серии сосредоточены на повествовании и открытии истории без ограничений по времени. Тем не менее, во время игры можно испытать множество разных путей, с более чем одним правильным решением истории, ожидающим своего открытия. Каждое название состоит из трех глав, каждая из которых занимает около 75 минут.   Игрокам предстоит стать командой бесстрашных исследователей и погрузиться в мистические и леденящие душу события в старинном отеле «Абаддон». Кооперативная игра состоящая из 3 глав. Словно в классических компьютерных квестах, игроки будут исследовать локации, находить и комбинировать предметы, а также решать головоломки и взаимодействовать с персонажами.  ",Русский,,6.64,,https://gaga.ru/gaga/files/images/fullsize/6418/2.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/6418.pdf,https://gaga.ru/game/adventure-games-grand-otel-abaddon/
Adventure Games. Корпорация Mонохром,https://hobbygames.ru/adventure-games-korporacija-monohrom,https://www.lavkaigr.ru/shop/golovolomki/adventure-games-korporatsiia-monokhrom/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/Adventure_games/AG_Korporacia_Monohrom-1000x416-wm.jpg,Похищение таинственной формулы,"Adventure Games,Игры для компании,Кооперативные игры,Логические игры,Приключенческие игры",1 750 ,1-4,270+,16+,2020,Zvezda,"109 карточек приключения,19 карточек этажей,4 фишки с подставками,Книга приключения,Правила игры ,Размер коробки: 180x130x40 мм,Вес: 0.4 кг","  Исследуйте места, комбинируйте предметы и переживайте истории в Adventure Games. В каждой из этих игр игрокам представлена загадочная история, которую предстоит разгадать в ходе игры. Работая вместе, игроки исследуют общие зоны, разговаривают с людьми, ищут подсказки и объединяют различные предметы, чтобы раскрыть секрет истории. В зависимости от того, какие решения принимают игроки, ход истории меняется и пути назад нет!   В отличие от совместной серии EXIT: The Game, названия в этой серии сосредоточены на повествовании и открытии истории без ограничений по времени. Тем не менее, во время игры можно испытать множество разных путей, с более чем одним правильным решением истории, ожидающим своего открытия. Каждое название состоит из трех глав, каждая из которых занимает около 75 минут.   В Корпорации Монохром игрокам было приказано проникнуть в исследовательское здание, и как только они окажутся в зеркальных окнах этой башни, они останутся одни. Что они там находят, какие выводы делают из этих вещей и чем заканчивается эта нервная история, полностью в их руках. Только скоординировав свою команду, они смогут избежать потенциальных ловушек, выполнить свою миссию и разгадать тайну этого здания.  ",Русский,https://media.lavkaigr.ru/cache/af/27/af27a218048437415d3dc57d50f2f991.png,6.64,,https://gaga.ru/gaga/files/images/fullsize/5231/2.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/5231-349479.pdf,https://gaga.ru/game/adventures-games-korporaciya-monohrom/
Adventure Games. Подземелье,https://hobbygames.ru/adventure-games-podzemele,https://www.lavkaigr.ru/shop/golovolomki/adventure-games-podzemele/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/Adventure_games/AG_Podzemelie-1000x416-wm.jpg,Побег в 3 этапа,"Adventure Games,Игры для компании,Кооперативные игры,Логические игры,Приключенческие игры",1 750 ,1-4,270+,16+,2020,Zvezda,"107 карточек приключения,18 карточек этажей,2 карточки-памятки,4 фишки,Книга приключения,Правила ,Размер коробки: 180x130x40 мм,Вес: 0.4 кг","  Исследуйте места, комбинируйте предметы и переживайте истории в Adventure Games. В каждой из этих игр игрокам представлена загадочная история, которую предстоит разгадать в ходе игры. Работая вместе, игроки исследуют общие зоны, разговаривают с людьми, ищут подсказки и объединяют различные предметы, чтобы раскрыть секрет истории. В зависимости от того, какие решения принимают игроки, ход истории меняется и пути назад нет!   В отличие от серии EXIT: The Game, названия в этой серии сосредоточены на повествовании и открытии истории без ограничений по времени. Тем не менее, во время игры можно испытать множество разных путей, с более чем одним правильным решением истории, ожидающим своего открытия. Каждое название состоит из трех глав, каждая из которых занимает около 75 минут.   В Подземелье игроки просыпаются в тюремной камере в средневековье, не помня, как они туда попали. Что случилось? Что происходит в этом подземелье? И самое главное, как им выбраться? В течение трех глав игроки будут совместно исследовать комнаты, комбинировать предметы и, возможно, даже встречаться с существами, которые прячутся в темных комнатах старого замка ...    ",Русский,https://media.lavkaigr.ru/cache/9f/7c/9f7c7ab04f36da609ccd107b99a3e0c2.png,6.97,,https://gaga.ru/gaga/files/images/fullsize/5230/3.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/5230-312604.pdf,https://gaga.ru/game/adventures-games-podzemelie/
Anno 1800,https://hobbygames.ru/anno-1800,https://www.lavkaigr.ru/shop/strategicheskie/anno-1800/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/Anno1800/HG/Anno_1800-1000x416-wm.jpg,Приведите свой остров в баланс!,"Семейные игры,Стратегические игры,Экономические игры",4 990 ,2-4,120,14+,2021,Zvezda,"Игровое поле,4 памятки,4 стартовых острова игроков,12 островов Старого Света,8 островов Нового Света,290 жетонов: ,120 жетонов построек,130 жетонов мореплавания,38 жетонов золота,Жетон первого игрока,Жетон фейерверка,144 карточки: ,102 карточки населения,22 карточки экспедиций,20 карточек заданий,125 кубиков населения,Правила игры ,Размер коробки: 194x277x67 мм,Вес: 1.8 кг","  В  ""Anno 1800"" , настольной игре, основанной на популярной компьютерной игре от  Ubisoft , вы постоянно создаете собственную индустрию для развития своего домашнего острова. Флот кораблей позволяет вести активную торговлю и осваивать новые острова в Старом и Новом Свете. Вы должны исполнять желания собственного населения. Поначалу жители довольствуются хлебом и одеждой, но вскоре они потребуют ценные предметы роскоши. Вы должны разумно планировать производственные цепочки и следить за специализацией вашего населения. Цель: разумное распределение фермеров, рабочих, мастеров, инженеров и инвесторов - но конкуренция никогда не дремлет и может вырвать новые достижения из-под вашего носа в любой момент! Кто сможет создать самый процветающий остров?  ",Русский,https://media.lavkaigr.ru/cache/39/ad/39add09d6b3168f6403bfc1910edf150.png,7.8,7.1,https://gaga.ru/gaga/files/images/fullsize/6168/29.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/6168.pdf,https://gaga.ru/game/anno-1800/
Bullet,https://hobbygames.ru/bullet-uragannij-jekshen,https://www.lavkaigr.ru/shop/strategicheskie/bullet/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Bullet/bullet-1000x416-wm.jpg,Шквал огня!,"Bullet,Командные игры,Кооперативные игры,Стратегические игры",3 290 ,1-4,15,12+,2022,GaGa Games,"8 планшетов героинь и боссов,8 планшетов действий,4 планшета перестрелки,79 карт приёмов,4 карты-памятки,37 карт приёмов босса,Шкала накала,Маркер накала,4 маркера очков действий,5 жетонов щитов,12 жетонов командных действий,27 жетонов усилений,2 жетона прицела,Жетон Мариэль,4 активных мешка,Общий мешок,140 жетонов пуль,Инструкция по быстрому старту,Правила игры ,Размер коробки: 300x300x75 мм,Вес: 1.885 кг","  Bullet — динамичная экшен-стратегия в режиме реального времени, вдохновленная аниме-сериалами и видеоиграми в жанре shoot’em’up, bullet hell, пазл и тетрис.   Сверкая неоновыми огнями и ослепляя вспышками, прямо из игрового мешка на вас будет направлен целый рой ярких снарядов. Чтобы отразить атаку, вы будете выполнять особые действия по перемещению жетонов пуль, складывать их в узоры согласно условиям и разыгрывать карточки приемов на протяжении трехминутного раунда. Раз за разом проделывая эти манипуляции, вы убираете пули со своего планшета перестрелки и направляете их прямо в зону угрозы соперника.   В яркой и многогранной Bullet вас ждут четыре игровых режима. Познакомьтесь со всеми героинями и попробуйте силы в одиночном аркадном режиме. Сразите всех соперников своим мастерством в классическом режиме на выбывание. Устройте эпичную битву 2 на 2 в командном или сообща победите босса в кооперативном формате. Выбор режима и персонажа всегда остается за вами и позволяет существенно разнообразить и без того азартные партии.    ",Русский,https://media.lavkaigr.ru/cache/e6/87/e687e53dfb71a135c2e84b5415a80142.png,7.7,6.7,https://gaga.ru/gaga/files/images/fullsize/6023/17.jpg,молниеносные раунды — вам захочется стрелять еще и еще!^красочное и футуристичное оформление в стиле аниме и видеоигр^много забавных отсылок для гиков и фанатов жанра^восемь крутых героинь с уникальными историями и свойствами^,оригинальная концепция и сочетание игровых механик^четыре боевых режима — для перестрелок на любой вкус^с десяток заводных музыкальных треков-таймеров^,первому выбывшему из игры остается наблюдать за отчаянной перестрелкой со стороны^,"Bullet — потрясающая real-time стратегия, созданная на стыке игровых вселенных, которая понравится геймерам, поклонникам японской анимации и лихим настольщикам, непременно добавив экшена в ваш досуг.",https://gaga.ru//gaga/files/pdf/rules/ru/6023-353405.pdf,https://gaga.ru/game/bullet/
Bullet Orange,https://hobbygames.ru/bullet-orange,https://www.lavkaigr.ru/shop/strategicheskie/bullet-orange/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Bullet/Orange/bullet_orange_dopolnenie-1000x416-wm.jpg,Ещё больше героинь!,"Bullet,Командные игры,Кооперативные игры,Стратегические игры",1 490 ,1-4,15,12+,2022,GaGa Games,"60 карт приёмов,6 планшетов героинь,4 планшета действий,4 буклета с описанием героинь ,Размер коробки: 140x285x33 мм,Вес: 0.635 кг","  Bullet: Orange — расширение для игр Bullet, содержит четыре новые героини из франшизы Orange Juice. У каждой из них с собой красочные и футуристично оформленные планшеты, уникальные способности, характеристики и карты приемов. Вечно юная защитница Земли Сугури умеет уворачиваться от летящих в нее пуль и избегать урона, но уворот — довольно опасная тактика, заставляющая вас балансировать и рисковать, ведь на этот маневр тратится целых три очка действия. Бывший солдат Сора отлично справляется с любой боевой задачей и оружием на ваш выбор. Авторы сделали ей сразу три разные формы, грамотное чередование которых приведет вас к победе. Самая молодая летчица Гильдии Мар вступает в бой прямо на своем резвом самолете ""Красный Бочонок"". Снаряды со звездами не дают ей восполнить энергию в ходе раунда, зато Мар может одним махом убрать пули одинакового цвета со своего планшета перестрелки. Кьюпи — девочка-шпиц померанец, которая обожает сладкое и обезоруживает одним своим милейшим видом. Она может открывать дополнительные карты приемов, тратя очки действия, так что следить за ней приходится в оба.  ",Русский,https://media.lavkaigr.ru/cache/6a/cb/6acb9bfaa1e9f5deb338f19a0eec6d44.png,,,https://gaga.ru/gaga/files/images/fullsize/6437/8.jpg,,,,"Всем, кто полюбил базовую версию Bullet с ее харизматичными героинями, супер динамичными партиями и ожесточенными перестрелками, рекомендуем это апельсиновое дополнение. Больше персонажей, хитроумных комбинаций и летящих в вас пуль — море разнообразия, азарта и веселья!",,https://gaga.ru/game/bullet-orange/
Codenames Duet (ENG),https://hobbygames.ru/kodovie-imena-dujet,https://www.lavkaigr.ru/shop/family/kodovye-imena-duet/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Codenames/Codenames_Duet/1-1000x416-wm.jpg,Прикройте друг друга!,"Вечериночные игры,Кооперативные игры,Codenames (Кодовые имена)",1 790 ,2,30+,11+,2017,GaGa Games,"200 карт с 400 словами,100 двухсторонних карт с ключом,15 карт агентов,Карта убийцы,11 жетонов времени,Блокнот с картами миссий,Подставка под карты,Вес: 0.65 кг","  Хоть у шпионов должны быть железные нервы, они все же остаются   людьми. Устав от изматывающего противостояния, ведущие секретные   разведки решили провести совместную операцию, чтобы справиться с   противником мирового масштаба. Встречайте продолжение легендарных Кодовых имён – Codenames Duet!   Это кооперативная игра, сделанная специально для двоих, но шпионский мир  всегда открыт для сотрудничества, поэтому спасать планету можно и  вчетвером. Вас ждут 400 новых карточек слов, которые можно смешать с  карточками оригинальной игры. Галерея секретных агентов пополнилась  новыми лицами.  ",,,8.0,8.0,https://gaga.ru/gaga/files/images/fullsize/5521/6.jpg,,,,"Кооперативная версия культовой игры. Это все те же восхитительные Codenames, которые стали еще более интересными и атмосферными. Придумывайте ассоциации компанией или наслаждайтесь яркими эмоциями вдвоем.",https://gaga.ru//gaga/files/pdf/rules/ru/5521-349215.pdf,https://gaga.ru/game/kodovie-imena-duet-eng/
Codex. Базовый набор,https://hobbygames.ru/kodeks-startovij-nabor,https://www.lavkaigr.ru/shop/kartochnye/codex-card-time-strategy-rus/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Codex/Startoviy/Codex_Starter_Set-1000x416-wm.jpg,Изучите основы Кодекса!,"Дуэльные игры,Карточные игры,Codex (Кодекс),Стратегические игры",1 490 ,2,20-30,13+,2018,GaGa Games,"37 карт мощи,40 карт грации,2 игровых поля,2 зоны патрулирования,Счетчик жизней базы,Жетоны для учета ресурсов,Правила игры ,Размер коробки: 205x128x55 мм,Размер карт: 63,5x88 мм (рекомендуются протекторы из данного раздела,77 шт.),Вес: 0.64 кг","  Codex: Стратегия в карточном времени - это настраиваемая карточная игра без коллекционирования, действие которой происходит во вселенной Fantasy Strike, вдохновленная стратегическими видеоиграми в реальном времени, такими как Starcraft и Warcraft 3. Каждый игрок управляет тремя разными героями и имеет доступ к дереву технологий. что позволяет им использовать разные стратегии каждый раз, когда они играют.   Цель игры - уничтожить базу противника. Для этого игроки создают армию из юнитов и героев. Игроки определяют точный состав своих армий во время игры, добавляя карты в свою колоду в зависимости от технологии, которую они выбрали для развития.  ",Русский,https://media.lavkaigr.ru/cache/5f/d7/5fd7fe76b8096bf347a8a2e54834a879.png,8.17,8.3,https://gaga.ru/gaga/files/images/fullsize/3742/10.jpg,ощущение построения колоды в режиме реального времени^отсылки к любимым настольным и компьютерным играм^победа зависит от умения игроков^,в комплект входят кодексы — специальные альбомы для каждой фракции^,"в первых партиях требуется время, чтобы изучить свойства всех карт^","Codex — это результат десятилетней работы по созданию игры, которая позволит посмотреть на коллекционные карточные игры с совершенно другого ракурса.",https://gaga.ru//gaga/files/pdf/rules/ru/3742-351950.pdf,https://gaga.ru/game/codex-core-set/
